#OTUId,1-1,1-2,1-3,1-4,1-5,2-1,2-2,2-3,2-4,2-5,3-1,3-2,3-3,3-4,3-5,4-1,4-2,4-3,4-4,4-5,5-1,5-2,5-3,5-4,5-5,6-1,6-2,6-3,6-4,6-5,7-1,7-2,7-3,7-4,7-5,8-1,8-2,8-3,8-4,8-5,9-1,9-2,9-3,9-4,9-5
OTU_195,0,0,0,0,0,113,47,81,11,81,731,264,305,0,234,43,18,105,77,43,220,0,315,86,99,53,27,23,70,47,6,2,43,18,26,0,0,0,0,0,283,176,60,121,697
OTU_53,0,0,0,0,0,168,131,200,141,505,616,183,633,0,338,55,72,179,87,97,300,0,746,327,664,40,113,91,181,78,71,50,300,130,87,0,60,66,0,115,0,0,0,0,0
OTU_97,12,68,89,86,31,125,29,46,49,133,97,32,82,2,22,124,165,262,191,52,440,0,604,389,421,185,139,241,421,281,196,186,810,459,315,0,56,503,0,250,235,145,28,193,82
OTU_26,1707,792,263,333,279,49,47,52,17,74,2194,1241,240,0,1347,1488,339,149,896,553,339,4,411,1009,917,567,425,159,231,144,239,157,73,103,79,0,268,57,0,59,123,56,59,106,197
OTU_425,331,240,77,79,110,2,9,15,2,13,190,44,19,0,61,446,155,57,396,309,164,0,96,142,156,319,198,90,120,53,76,40,50,55,37,0,76,39,0,40,43,17,49,50,38
OTU_490,807,465,342,658,319,142,277,204,83,232,969,634,87,0,632,286,109,105,328,425,175,0,142,100,143,40,194,50,55,24,51,23,27,58,41,0,480,231,0,207,713,158,173,555,323
OTU_8,0,0,0,0,0,214,641,267,153,439,3588,1047,3934,0,876,53,128,19,56,106,163,0,188,125,225,174,249,118,30,27,77,50,70,160,50,0,55,97,0,387,1870,594,72,177,130
OTU_47,12,0,4,32,0,93,135,49,75,48,0,0,0,0,0,126,285,225,567,52,107,0,74,325,596,146,152,104,186,163,212,333,379,432,797,0,54,42,0,89,0,0,0,0,0
OTU_30,502,335,170,174,282,111,122,215,53,321,1024,345,110,0,501,694,528,154,483,776,222,0,206,355,292,180,415,227,206,67,128,85,188,205,83,0,531,147,0,207,1961,454,542,766,905
OTU_105,3,14,2,5,2,42,0,9,7,13,13,6,15,0,11,70,74,53,75,10,98,0,156,78,133,41,21,109,114,101,6,15,39,56,21,0,3,42,0,15,0,0,0,0,0
OTU_83,100,73,167,113,116,22,10,19,9,6,0,0,0,0,0,10,61,29,25,2,95,0,60,87,77,179,267,381,96,120,298,210,330,7,122,0,43,14,0,26,222,75,144,59,190
OTU_76,0,0,0,0,0,49,151,224,38,275,0,0,0,0,0,47,56,15,144,64,86,0,85,81,55,2,19,0,3,0,26,17,5,24,13,0,28,20,0,21,70,29,90,74,62
OTU_42,494,496,349,494,586,182,232,247,23,174,956,521,313,0,1063,778,235,154,726,498,173,0,156,156,111,325,110,91,249,182,90,65,119,151,530,0,405,181,0,433,169,65,99,147,246
